CLAVE DE LA NORMA,TITULO,F. PUBLICACIÓN,TIPO NORMA,PRODUCTO,RAE,CTNN,ONN,DOCUMENTO
NMX-A-024-INNTEX-2012,INDUSTRIA TEXTIL-NO TEJIDOS-PAÑALES-DETERMINACIÓN DEL REGRESO DE HUMEDAD Y VELOCIDAD DE ABSORCIÓN EN PAÑALES DESECHABLES PARA BEBÉ-METODO DE PRUEBA (CANCELA A LA NMX-A-024/1-INNTEX-2008).,2013-04-16T00:00:00Z,DEFINITIVA,PAÑALES,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-025-1980,"""INDUSTRIA TEXTIL - PRENDAS DE VESTIR EXTERNAS - TALLAS DE SOMBREROS"",                                                                                                                                                                                       ",1980-06-23T00:00:00Z,DEFINITIVA,SOMBREROS,INDUSTRIA TEXTIL,CTNN DE LA INDUSTRIA TEXTIL Y DEL VESTIDO.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1980/nmx-a-025-1980.pdf
NMX-A-026-1980,"""INDUSTRIA TEXTIL - PRENDAS DE VESTIR EXTERNAS - TALLAS PARA INFANTES"".",1980-06-23T00:00:00Z,DEFINITIVA,TALLAS,INDUSTRIA TEXTIL,CTNN DE LA INDUSTRIA TEXTIL Y DEL VESTIDO.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1980/nmx-a-026-1980.pdf
NMX-A-029-INNTEX-2010,INDUSTRIA TEXTIL-TEJIDOS DE CALADA-TELAS AUTOEXTINGUIBLES-ESPECIFICACIONES.,2010-05-04T00:00:00Z,DEFINITIVA,TELAS,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-033-INNTEX-2009,"INDUSTRIA DEL VESTIDO-ROPA HOSPITALARIA-SÁBANAS-ESPECIFICACIONES. CANCELA LA NMX-A-033-INNTEX DE 2008
",2009-12-23T00:00:00Z,DEFINITIVA,SÁBANAS,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-035-INNTEX-2011,"INDUSTRIA DEL VESTIDO-COBERTORES PARA USO HOSPITALARIO, COBERTOR PARA CANASTILLA DE BEBE Y COBERTOR PARA USO EN CASO DE CONTINGENCIA Y ASISTENCIA SOCIAL -ESPECIFICACIONES.",2011-02-16T00:00:00Z,DEFINITIVA,COBERTOR,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-036-INNTEX-2009,INDUSTRIA DEL VESTIDO-TOALLA PARA USO HOSPITALARIO Y TOALLA PARA BAÑO DE CANASTILLA PARA BEBE-ESPECIFICACIONES,2009-10-19T00:00:00Z,DEFINITIVA,TOALLA,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-038/1-INNTEX-2011,"INDUSTRIA DEL VESTIDO-VESTUARIO PARA INSTITUCIONES DEL SECTOR SALUD-PARTE 1-FILIPINAS Y CONJUNTO DE FILIPINA CON PANTALON Y ACCESORIOS, PARA USO HOSPITALARIO O MEDICO-ADMINISTRATIVO-ESPECIFICACIONES.",2011-02-16T00:00:00Z,DEFINITIVA,VESTIDO,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-042/1-INNTEX-2009,IINDUSTRIA TEXTIL-TEJIDOS DE CALADA-GABARDINA-PARTE 1-TELA 100% ALGODÓN-ESPECIFICACIONES,2009-12-23T00:00:00Z,DEFINITIVA,GABARDINA,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-045-1983,"""INDUSTRIA DEL VESTIDO - PRENDAS DE VESTIR EXTERNAS PARA HOMBRES Y NIÑOS-REFERENCIAS PARA LA DESIGNACIÓN DE TALLAS"".(ESTA NORMA CANCELA A LA NOM-A-45-1980)",1983-02-16T00:00:00Z,DEFINITIVA,PRENDAS,INDUSTRIA TEXTIL,CTNN DE LA INDUSTRIA TEXTIL Y DEL VESTIDO.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1983/nmx-a-045-1983.pdf
NMX-A-046-INNTEX-2005,"INDUSTRIA TEXTIL-FIBRAS TEXTILES-FILAMENTOS CONTINUOS DE POLIAMIDA 6 (NYLON 6), RIGIDOS PARA USO TEXTIL-ESPECIFICACIONES Y TOLERANCIAS (CANCELA A LA NMX-A-046-1994-INNTEX).",2006-03-17T00:00:00Z,DEFINITIVA,NYLON,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-047-INNTEX-2009,INDUSTRIA TEXTIL-NO TEJIDOS-PAQUETE MORTAJA-ESPECIFICACIONES.,2009-12-23T00:00:00Z,DEFINITIVA,MORTAJA,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-047-INNTEX-2013,INDUSTRIA TEXTIL-NO TEJIDOS-PAQUETE MORTAJA- ESPECIFICACIONES (CANCELA A LA NMX-A-047-INNTEX-2009).,2014-08-25T00:00:00Z,DEFINITIVA,NO TEJIDOS,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-049/1-INNTEX-2009,INDUSTRIA TEXTIL- AUXILIARES ABSORBENTES DE ORINA - PARTE 1 - ENSAYO EN PRODUCTO COMPLETO.,2009-12-23T00:00:00Z,DEFINITIVA,ABSORBENTES DE ORINA,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-051-SCFI-2000,PRODUCTOS AGRICOLAS NO INDUSTRIALIZADOS PARA USO INDUSTRIAL-ALGODON PARA HILAR-(GOSSYPIUM SPP)-ESPECIFICACIONES (CANCELA A LA NMX-A-051-1964).,2001-01-02T00:00:00Z,DEFINITIVA,ALGODON,INDUSTRIA TEXTIL,CTNN DE LA INDUSTRIA TEXTIL Y DEL VESTIDO.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/2001/nmx-a-051-scfi-2000.pdf
NMX-A-053-1994-INNTEX,MÉTODO DE PRUEBA PARA LA LECTURA MICRONAIRE DE LAS FIBRAS DE ALGODON                                                                                                                                                                                          ,1996-08-15T00:00:00Z,DEFINITIVA,MÉTODO DE PRUEBA,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-056-1977,"""DETERMINACIÓN DE LA RECUPERACIÓN DE HUMEDAD EN LOS MATERIALES TEXTILES (HUMEDAD COMERCIAL)"". (ESTA NORMA CANCELA LA DGN·A-S6-1971 ).",1977-05-12T00:00:00Z,DEFINITIVA,MÉTODO DE PRUEBA,INDUSTRIA TEXTIL,CTNN DE LA INDUSTRIA TEXTIL Y DEL VESTIDO.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1977/nmx-a-056-1977.pdf
NMX-A-057-INNTEX-2000,INDUSTRIA TEXTIL-DETERMINACION DE LA DENSIDAD O NUMERO DE HILOS POR UNIDAD DE LONGITUD DE LOS TEJIDOS DE CALADA-METODO DE PRUEBA (CANCELA A LA NMX-A-057-1964).,2000-08-18T00:00:00Z,DEFINITIVA,MÉTODO DE PRUEBA,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-059/1-INNTEX-2008,INDUSTRIA TEXTIL-PROPIEDADES DE LOS TEJIDOS FRENTE A LA TRACCION-PARTE 1-DETERMINACION DE LA FUERZA MAXIMA Y DEL ALARGAMIENTO A LA FUERZA MAXIMA POR EL METODO DE LA TIRA (CANCELA A LA NMX-A-059/1-INNTEX-2000).,2009-01-07T00:00:00Z,DEFINITIVA,MÉTODO DE PRUEBA,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-059/2-INNTEX-2008,INDUSTRIA TEXTIL-PROPIEDADES DE LOS TEJIDOS FRENTE A LA TRACCION-PARTE 2-DETERMINACION DE LA FUERZA MAXIMA POR EL METODO DE AGARRE-METODO GRAB (CANCELA A LA NMX-A-059/2-INNTEX-2000).,2009-01-07T00:00:00Z,DEFINITIVA,MÉTODO DE PRUEBA,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-060-1994-INNTEX,METODO DE PRUEBA PARA LA DETERMINACION DE LOS HILADOS - METODO DIRECTO                                                                                                                                                                                        ,1996-08-15T00:00:00Z,DEFINITIVA,MÉTODO DE PRUEBA,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-062-INNTEX-2009,INDUSTRIA TEXTIL-HILADOS DE PAQUETE-DETERMINACIÓN DE LA DENSIDAD LINEAL (MASA POR UNIDAD DE LONGITUD) POR EL MÉTODO DE MADEJA.,2009-12-23T00:00:00Z,DEFINITIVA,MÉTODO DE PRUEBA,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-064-INNTEX-2009,INDUSTRIA TEXTIL-SOLIDEZ DEL COLOR-ESCALA DE GRIS PARA LA EVALIACIÓN DEL CAMBIO DE COLOR- CANCELA A LA NMX-064-INNTEX-2003,2009-12-23T00:00:00Z,DEFINITIVA,MÉTODO DE PRUEBA,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-065-INNTEX-2005,INDUSTRIA TEXTIL-DETERMINACION DE LA SOLIDEZ DEL COLOR AL SUDOR-METODO DE PRUEBA (CANCELA A LA NMX-A-065-1995-INNTEX).,2006-03-17T00:00:00Z,DEFINITIVA,COLOR,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-066-INNTEX-2009,INDUSTRIA TEXTIL-SOLIDEZ DEL COLOR-ESCALA GRIS PARA LA EVALUACIÓN DEL MANCHADO.CANCELA LA NMX-A-066-INNTEX DE 2003.,2009-12-23T00:00:00Z,DEFINITIVA,SOLIDEZ DEL COLOR,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
